# x data
-1.000000000000000000e+00 3.099342830602246579e+00
-8.571428571428572063e-01 3.605059700008519386e+00
-7.142857142857143016e-01 3.842811938595327437e+00
-5.714285714285713969e-01 3.773874728347113017e+00
-4.285714285714286031e-01 3.025758127340095527e+00
-2.857142857142858094e-01 2.599748440108944791e+00
-1.428571428571429047e-01 2.589002555961596119e+00
0.000000000000000000e+00 2.153486945830581867e+00
1.428571428571427937e-01 1.753728137033274903e+00
2.857142857142855874e-01 1.925076535402502564e+00
4.285714285714283811e-01 1.801824702051537441e+00
5.714285714285713969e-01 1.970280002757716087e+00
7.142857142857141906e-01 2.355109893475460403e+00
8.571428571428569843e-01 2.233694281287991412e+00
1.000000000000000000e+00 2.655016433497393358e+00
